1041,Food Lion Store,1929 OLEANDER DR,WILMINGTON,28403,FL MFD
1073,Food Lion Store,809 N BROWN ST,CHADBOURN,28431,FL MFD
1193,Food Lion Store,45 S KERR AVE,WILMINGTON,28403,FL MFD
1199,Food Lion Store,117 US HIGHWAY 13 BYP,WINDSOR,27983,FL MFD
1212,Food Lion Store,2601 CASTLE HAYNE RD STE A,WILMINGTON,28401,FL MFD
1251,Food Lion Store,1901 LIVE OAK ST,BEAUFORT,28516,FL MFD
1275,Food Lion Store,9007 RICHLANDS HWY,RICHLANDS,28574,FL MFD
1282,Food Lion Store,108 GREENWOOD SQ,SNOW HILL,28580,FL MFD
1291,Food Lion Store,1914 TURNBURY DR,GREENVILLE,27858,FL MFD
1327,Food Lion Store,3211 Enterprise Drive,Wilmington,28405,FL MFD
1368,Food Lion Store,3301 DR M L KING JR BLVD,NEW BERN,28562,FL MFD
1373,Food Lion Store,2460 STANTONSBURG RD,GREENVILLE,27834,FL MFD
1388,Food Lion Store,8207 MARKET ST,WILMINGTON,28403,FL MFD
1392,Food Lion Store,2432 S 17TH ST,WILMINGTON,28401,FL MFD
1396,Food Lion Store,7075 US HIGHWAY 70 E,NEWPORT,28570,FL MFD
1404,Food Lion Store,3905 INDEPENDENCE BLVD,WILMINGTON,28412,FL MFD
1406,Food Lion Store,6932 MARKET ST Suite A,WILMINGTON,28411,FL MFD
144,Food Lion Store,1318 JOHN SMALL AVE,WASHINGTON,27889,FL MFD
146,Food Lion Store,461 Western Blvd #128,JACKSONVILLE,28546,FL MFD
1462,Food Lion Store,160 Town Cntr. Plz Hwy 17 S,CHOCOWINITY,27817,FL MFD
1492,Food Lion Store,3700 S MEMORIAL DR,GREENVILLE,27834,FL MFD
1494,Food Lion Store,2200 GUM BRANCH RD,JACKSONVILLE,28540,FL MFD
1495,Food Lion Store,861 PINEY GREEN RD,JACKSONVILLE,28546,FL MFD
1550,Food Lion Store,5680 S NC 41 HWY,WALLACE,28466,FL MFD
1568,Food Lion Store,620 RED BANKS RD,GREENVILLE,27858,FL MFD
